Country,Year,LifeExpectancy,Status,GDP,IncomeComposition,Polio,Diphtheria,TotalExpenditure,BMI
Algeria,2007,73.8,Developing,3935.183343,0.69,95,95,3.82,5.8
Algeria,2006,73.4,Developing,3464.6179,0.686,95,95,3.36,49.8
Algeria,2005,72.9,Developing,31.122378,0.68,88,88,3.24,48.9
Algeria,2004,72.3,Developing,2598.9823,0.673,86,86,3.54,47.9
Algeria,2003,71.7,Developing,294.33556,0.663,87,87,3.6,47
Algeria,2002,71.6,Developing,1774.33673,0.653,86,86,3.73,46.1
Algeria,2001,71.4,Developing,1732.857979,0.644,89,89,3.84,45.3
Algeria,2000,71.3,Developing,1757.17797,0.636,86,86,3.49,44.4
Angola,2014,51.7,Developing,479.31224,0.527,68,64,3.31,22.7
Angola,2013,51.1,Developing,484.616884,0.523,67,77,4.26,22.1
Angola,2012,56,Developing,4598.249988,0.508,75,75,3.3,21.5
Angola,2011,51,Developing,4299.12889,0.495,73,71,3.38,21
Angola,2010,49.6,Developing,3529.53482,0.488,81,77,3.39,2.4
Angola,2009,49.1,Developing,3347.84485,0.48,63,6,4.37,19.8
Angola,2008,48.7,Developing,3868.578883,0.468,65,69,3.84,19.3
Angola,2007,48.2,Developing,2878.837144,0.454,75,73,3.38,18.8
Angola,2006,47.7,Developing,262.415149,0.439,36,34,4.54,18.2
Angola,2005,47.4,Developing,1443.991929,0.426,39,38,4.1,17.7
Angola,2004,47.1,Developing,141.86844,0.415,4,4,4.71,17.2
Angola,2003,46.8,Developing,779.468356,0.406,4,4,4.41,16.8
Angola,2002,46.5,Developing,711.181716,0.401,37,41,3.63,16.3
Angola,2001,45.7,Developing,526.168743,0.391,41,38,5.38,15.8
Angola,2000,45.3,Developing,555.2969419,0.382,3,28,2.79,15.4
Antigua and Barbuda,2014,76.2,Developing,12888.29667,0.782,96,99,5.54,47
Antigua and Barbuda,2013,76.1,Developing,12224.86416,0.781,98,99,5.33,46.4
Antigua and Barbuda,2012,75.9,Developing,12565.44197,0.778,97,98,5.39,45.7
Antigua and Barbuda,2011,75.7,Developing,11929.34991,0.782,99,99,5.65,45.1
Antigua and Barbuda,2010,75.6,Developing,12126.87614,0.783,99,98,5.63,44.4
Antigua and Barbuda,2009,75.4,Developing,1312.46692,0.788,98,99,4.86,43.8
Antigua and Barbuda,2008,75.2,Developing,1473.31923,0.786,99,99,4.69,43.2
Antigua and Barbuda,2007,75,Developing,14252.29452,0.781,98,99,4.27,42.6
Antigua and Barbuda,2006,74.8,Developing,12724.39377,0.773,99,99,4.34,42
Antigua and Barbuda,2005,74.6,Developing,11371.93895,0,98,99,4.41,41.4
Antigua and Barbuda,2004,74.4,Developing,1352.8374,0,97,97,4.21,4.8
Antigua and Barbuda,2003,74.2,Developing,9739.82556,0,99,99,4.53,4.1
Antigua and Barbuda,2002,74,Developing,9386.716452,0,93,98,4.41,39.5
Antigua and Barbuda,2001,73.8,Developing,9358.154162,0,99,97,4.48,38.9
Antigua and Barbuda,2000,73.6,Developing,9875.161736,0,96,95,4.13,38.2
Argentina,2014,76.2,Developing,12245.25645,0.825,92,94,4.79,62.2
Argentina,2013,76,Developing,12976.63642,0.823,99,94,4.99,61.6
Argentina,2012,75.9,Developing,12969.7712,0.822,99,91,5.2,61
Argentina,2011,75.7,Developing,12726.9836,0.816,93,91,5.89,6.4
Argentina,2010,75.5,Developing,1276.265,0.802,95,94,6.55,59.8
Argentina,2009,75.6,Developing,8161.36966,0.794,97,94,7.63,59.2
Argentina,2008,75.4,Developing,8953.359275,0.792,94,93,6.66,58.6
Argentina,2007,74.8,Developing,7193.61764,0.788,92,91,6.49,58
Argentina,2006,75.2,Developing,5878.76127,0.782,92,91,6.68,57.5
Argentina,2005,74.9,Developing,576.883829,0.78,95,98,6.85,56.9
Argentina,2004,74.7,Developing,4251.574348,0.775,91,98,6.84,56.3
Argentina,2003,74.1,Developing,333.4376,0.77,95,96,8.22,55.7
Argentina,2002,74.1,Developing,2579.193168,0.776,94,93,8.31,55.1
Argentina,2001,74,Developing,717.694674,0.771,85,83,9.38,54.6
Argentina,2000,74.1,Developing,7669.273916,0.764,88,83,9.21,54
Armenia,2014,74.6,Developing,3994.712355,0.739,95,93,4.48,54.1
Armenia,2013,74.4,Developing,3843.591213,0.736,96,95,4.55,53.3
Armenia,2012,74.4,Developing,3684.8481,0.732,96,95,4.48,52.6
Armenia,2011,73.9,Developing,3526.978143,0.729,96,95,3.71,51.9
Armenia,2010,73.5,Developing,3218.381655,0.72,96,94,4.56,51.2
Armenia,2009,73.3,Developing,2993.832531,0.725,94,93,4.55,5.7
Armenia,2008,73.2,Developing,41.26997,0.721,91,89,3.8,5.1
Armenia,2007,73.5,Developing,3138.8873,0.707,9,88,4.31,49.7
Armenia,2006,72.9,Developing,2158.299,0.692,87,87,4.58,49.2
Armenia,2005,73,Developing,1643.758397,0.679,92,9,5.25,48.8
Armenia,2004,73,Developing,1191.96192,0.668,93,91,5.5,48.4
Armenia,2003,72.7,Developing,93.1661567,0.657,96,94,5.56,48.1
Armenia,2002,72.6,Developing,783.261699,0.645,96,94,5.4,47.8
Armenia,2001,72.6,Developing,694.435119,0.644,97,94,5.94,47.4
Armenia,2000,72,Developing,622.7427477,0.639,96,93,6.25,47.1
Australia,2014,82.7,Developed,62214.6912,0.936,92,92,9.42,66.1
Australia,2013,82.5,Developed,67792.3386,0.933,91,91,9.36,65.5
Australia,2012,82.3,Developed,67677.63477,0.93,92,92,9.36,65
Australia,2011,82,Developed,62245.129,0.927,92,92,9.2,64.4
Australia,2010,81.9,Developed,51874.848,0.927,92,92,9.2,63.9
Australia,2009,81.7,Developed,42742.99898,0.925,92,92,9.5,63.4
Australia,2008,81.3,Developed,49664.6854,0.921,92,92,8.78,62.9
Australia,2007,81.3,Developed,4991.98289,0.918,92,92,8.53,62.5
Australia,2006,81.2,Developed,36118.28381,0.915,92,92,8.49,62
Australia,2005,81,Developed,3416.71483,0.91,92,92,8.45,61.5
Australia,2004,86,Developed,3472.37977,0.908,92,92,8.57,6.9
Australia,2003,83,Developed,23465.38559,0.905,92,93,8.32,6.3
Australia,2002,79.9,Developed,281.81763,0.902,92,92,8.39,59.6
Australia,2001,79.9,Developed,19517.84168,0.899,91,92,8.18,59
Australia,2000,79.5,Developed,2169.921,0.897,9,9,8.8,58.2
Austria,2014,81.4,Developed,51322.63997,0.892,98,98,11.21,57.1
Austria,2013,81.1,Developed,554.71532,0.887,95,95,11.14,56.6
Austria,2012,88,Developed,48333.57273,0.884,92,92,11.17,56.1
Austria,2011,88,Developed,51126.74139,0.88,89,89,1.94,55.7
Austria,2010,84,Developed,46657.629,0.872,86,86,11.17,55.2
Austria,2009,82,Developed,47654.18721,0.87,83,83,11.19,54.7
Austria,2008,84,Developed,51386.37665,0.864,83,83,1.6,54.2
Austria,2007,81,Developed,46586.6525,0.86,85,85,1.4,53.7
Austria,2006,79.8,Developed,443.99361,0.854,83,83,1.35,53.2
Austria,2005,79.4,Developed,38242.4252,0.848,86,86,1.53,52.7
Austria,2004,79.3,Developed,36693.4262,0.841,83,83,1.56,52.2
Austria,2003,78.8,Developed,3212.9355,0.837,84,84,1.48,51.7
Austria,2002,78.7,Developed,26351.37568,0.847,82,83,1.27,51.2
Austria,2001,78.6,Developed,24489.73553,0.837,83,84,1.12,5.6
Austria,2000,78.1,Developed,24517.26745,0.833,71,81,1.6,5.1
Azerbaijan,2014,72.5,Developing,7891.299776,0.752,97,94,6.4,51.5
Azerbaijan,2013,72.2,Developing,7875.756953,0.745,96,93,5.54,5.6
Azerbaijan,2012,71.9,Developing,7496.335728,0.742,92,89,5.37,49.7
Azerbaijan,2011,71.6,Developing,7189.691229,0.741,91,87,5.1,48.8
Azerbaijan,2010,71.1,Developing,5842.85784,0.737,85,81,5.33,48
Azerbaijan,2009,78,Developing,495.294791,0.728,84,81,5.85,47.3
Azerbaijan,2008,73,Developing,5574.6382,0.719,85,81,4.37,46.6
Azerbaijan,2007,73,Developing,3851.437869,0.708,81,79,5.1,45.9
Azerbaijan,2006,69.2,Developing,2473.85776,0.682,8,78,6.17,45.3
Azerbaijan,2005,68.4,Developing,1578.4239,0.675,79,75,7.86,44.7
Azerbaijan,2004,68.4,Developing,145.2163,0.668,78,77,7.92,44.2
Azerbaijan,2003,67.8,Developing,883.6439965,0.659,79,77,6.56,43.6
Azerbaijan,2002,67.8,Developing,763.73858,0.651,8,76,4.47,43.1
Azerbaijan,2001,67.5,Developing,73.6838434,0.642,77,77,4.48,42.6
Azerbaijan,2000,66.6,Developing,655.974326,0.636,75,76,4.67,42.1
Bahrain,2014,76.8,Developing,24983.3792,0.82,98,98,4.98,62.9
Bahrain,2013,76.7,Developing,251.18329,0.815,99,99,4.69,62.2
Bahrain,2012,76.5,Developing,23649.36661,0.812,99,99,4.37,61.5
Bahrain,2011,76.1,Developing,2281.1242,0.812,99,99,3.4,6.8
Bahrain,2010,76.1,Developing,2722.1389,0.81,99,99,3.64,6.1
Bahrain,2009,76,Developing,19356.67236,0.814,97,98,3.79,59.3
Bahrain,2008,75.8,Developing,2367.56535,0.815,97,97,3.17,58.5
Bahrain,2007,75.6,Developing,2977.1153,0.813,97,97,3.8,57.6
Bahrain,2006,75.5,Developing,1937.99549,0.81,98,98,3.8,56.8
Bahrain,2005,75.3,Developing,17959.17854,0.806,98,98,3.16,56.1
Bahrain,2004,75.2,Developing,15846.47641,0.803,98,98,3.37,55.6
Bahrain,2003,75,Developing,14221.99259,0.798,97,97,3.74,55.2
Bahrain,2002,74.9,Developing,1312.33457,0.796,98,98,3.89,55
Bahrain,2001,74.7,Developing,12868.211,0.794,99,99,3.8,54.8
Bahrain,2000,74.5,Developing,13636.34668,0.786,97,97,3.51,54.5
Bangladesh,2014,71.4,Developing,184.56543,0.57,97,97,2.82,17.7
Bangladesh,2013,71,Developing,951.8894535,0.565,96,96,2.88,17
Bangladesh,2012,77,Developing,856.342857,0.557,94,94,3.8,16.4
Bangladesh,2011,73,Developing,835.789341,0.545,96,96,3.16,15.8
Bangladesh,2010,69.9,Developing,757.6717572,0.535,94,94,3.6,15.2
Bangladesh,2009,69.5,Developing,681.125368,0.523,97,97,2.91,14.6
Bangladesh,2008,69.1,Developing,615.7775411,0.52,96,96,2.85,14
Bangladesh,2007,68.6,Developing,541.651484,0.513,96,94,2.8,13.5
Bangladesh,2006,68.2,Developing,494.51466,0.506,95,94,2.8,13
Bangladesh,2005,67.8,Developing,484.155471,0.499,94,93,2.68,12.5
Bangladesh,2004,67.3,Developing,46.7579167,0.491,88,99,2.62,12
Bangladesh,2003,66.8,Developing,432.7388972,0.484,9,87,2.51,11.6
Bangladesh,2002,66.3,Developing,4.6135745,0.476,83,83,2.59,11.2
Bangladesh,2001,65.8,Developing,42.5981152,0.468,85,85,2.47,1.8
Bangladesh,2000,65.3,Developing,45.63371,0.459,83,82,2.33,1.4
Barbados,2014,75.4,Developing,15359.66971,0.793,95,94,7.47,53.7
Barbados,2013,75.2,Developing,15472.7814,0.792,91,91,7.57,53
Barbados,2012,75.1,Developing,15384.8749,0.785,88,87,7.43,52.2
Barbados,2011,74.9,Developing,15534.1574,0.78,91,91,6.67,51.4
Barbados,2010,74.7,Developing,1595.91232,0.781,9,86,6.17,5.7
Barbados,2009,74.6,Developing,16523.32388,0.779,93,93,6.21,49.9
Barbados,2008,74.4,Developing,1657.3228,0.775,85,85,6.1,49.2
Barbados,2007,74.2,Developing,16462.48556,0.771,93,93,5.64,48.4
Barbados,2006,74.1,Developing,15646.5591,0.766,85,84,5.27,47.7
Barbados,2005,73.9,Developing,14223.86576,0.761,91,92,5.38,46.9
Barbados,2004,73.8,Developing,12868.8639,0.757,93,93,5.71,46.2
Barbados,2003,73.7,Developing,1228.5447,0.753,9,89,5.82,45.4
Barbados,2002,73.5,Developing,11675.39395,0.749,86,87,5.76,44.6
Barbados,2001,73.4,Developing,11513.87189,0.75,93,84,5.47,43.8
Barbados,2000,73.3,Developing,11568.1111,0.741,86,93,5.16,43
Belarus,2014,72,Developing,8318.429294,0.796,97,97,5.69,61.7
Belarus,2013,71.7,Developing,7978.825443,0.796,98,98,6.7,61.1
Belarus,2012,71.9,Developing,694.243915,0.793,98,98,5.1,6.5
Belarus,2011,72,Developing,6519.71753,0.787,98,98,4.92,59.9
Belarus,2010,73,Developing,63.38877,0.78,99,98,5.55,59.3
Belarus,2009,70,Developing,5176.172649,0.771,98,96,6.9,58.7
Belarus,2008,70,Developing,6376.183153,0.755,98,97,5.95,58.2
Belarus,2007,69.8,Developing,4735.484827,0.739,9,95,6.44,57.7
Belarus,2006,68.9,Developing,3848.215966,0.723,97,99,6.34,57.2
Belarus,2005,68.1,Developing,3126.71767,0.713,98,99,6.89,56.7
Belarus,2004,68.2,Developing,2378.33927,0.703,99,99,6.59,56.2
Belarus,2003,67.7,Developing,1819.525644,0.695,53,5,6.59,55.8
Belarus,2002,67.2,Developing,1479.383142,0.687,99,99,6.47,55.3
Belarus,2001,67.7,Developing,1244.373185,0.681,99,99,6.62,54.9
Belarus,2000,68,Developing,1276.28834,0.675,99,99,6.13,54.4
Belgium,2014,89,Developed,47439.39684,0.89,99,99,1.59,63.4
Belgium,2013,87,Developed,4651.38647,0.889,99,99,1.57,63
Belgium,2012,83,Developed,4474.5717,0.886,99,99,1.54,62.6
Belgium,2011,83,Developed,4772.77415,0.884,98,98,1.42,62.3
Belgium,2010,80,Developed,4438.23741,0.878,98,98,1.17,61.9
Belgium,2009,79.8,Developed,4488.5615,0.876,98,98,1.39,61.6
Belgium,2008,79.5,Developed,48424.58927,0.874,99,99,9.6,61.3
Belgium,2007,79.5,Developed,4443.83131,0.871,99,98,9.25,6.9
Belgium,2006,79.4,Developed,38852.3613,0.865,99,98,9.17,6.6
Belgium,2005,78.9,Developed,36967.28292,0.861,97,97,9.24,6.2
Belgium,2004,78.8,Developed,35589.71295,0.88,96,95,9.32,59.8
Belgium,2003,78.3,Developed,3743.95693,0.878,96,95,9.3,59.4
Belgium,2002,78,Developed,2552.3328,0.875,96,95,8.46,59
Belgium,2001,78,Developed,23121.56635,0.873,96,95,8.29,58.5
Belgium,2000,77.6,Developed,2327.4591,0.869,96,95,8.12,58.1
Belize,2014,70,Developing,4852.223666,0.705,95,95,5.79,5.1
Belize,2013,69.8,Developing,4688.538443,0.706,95,95,5.79,49.3
Belize,2012,69.4,Developing,4673.63848,0.702,98,98,5.45,48.5
Belize,2011,69.4,Developing,4516.24675,0.7,95,95,5.61,47.8
Belize,2010,69.5,Developing,4344.15177,0.7,96,96,5.85,47
Belize,2009,69.5,Developing,4258.788611,0.7,98,97,5.81,46.3
Belize,2008,69.6,Developing,447.22796,0.699,94,94,5.9,45.7
Belize,2007,69.6,Developing,4324.876427,0.7,97,96,4.76,45
Belize,2006,69.4,Developing,4187.3783,0.692,98,98,4.4,44.4
Belize,2005,69,Developing,3933.332215,0.695,96,96,4.45,43.8
Belize,2004,68.7,Developing,3831.53819,0.691,97,97,4.39,43.2
Belize,2003,68.4,Developing,3679.99523,0.684,95,96,4.53,42.6
Belize,2002,68.5,Developing,3556.561825,0.678,93,89,4.38,42
Belize,2001,68.2,Developing,3419.275719,0.677,96,96,4.5,41.4
Belize,2000,68.3,Developing,3364.423711,0.668,91,91,3.98,4.8
Benin,2014,59.7,Developing,943.686575,0.475,74,78,4.59,25.2
Benin,2013,59.5,Developing,915.2674586,0.466,73,77,4.59,24.6
Benin,2012,59.3,Developing,837.9551,0.458,8,8,4.86,24.1
Benin,2011,59.1,Developing,825.9427854,0.454,77,75,5.37,23.5
Benin,2010,58.7,Developing,757.695974,0.451,77,76,4.95,23
Benin,2009,58.4,Developing,793.45243,0.448,8,79,4.46,22.5
Benin,2008,57.6,Developing,82.1513498,0.444,77,75,4.2,22
Benin,2007,57.1,Developing,76.535419,0.438,82,82,4.55,21.5
Benin,2006,56.8,Developing,625.8392,0.434,76,74,4.75,21
Benin,2005,56.5,Developing,61.799977,0.43,73,7,4.73,2.5
Benin,2004,56.1,Developing,583.493514,0.423,74,72,4.56,2.1
Benin,2003,55.8,Developing,519.2922847,0.416,75,73,4.63,19.7
Benin,2002,55.6,Developing,418.6985763,0.407,76,75,4.27,19.2
Benin,2001,55.5,Developing,378.73654,0.395,77,76,4.69,18.8
Benin,2000,55.4,Developing,374.1923942,0.389,78,78,4.34,18.4
Bhutan,2014,69.4,Developing,2522.7968,0.596,98,99,3.57,23.6
Bhutan,2013,69.1,Developing,235.882889,0.589,97,97,3.83,22.7
Bhutan,2012,68.7,Developing,2422.816,0.581,97,97,3.7,21.9
Bhutan,2011,68.3,Developing,2458.45976,0.572,95,95,4.73,21.1
Bhutan,2010,67.9,Developing,2178.921383,0,92,91,5.17,2.3
Bhutan,2009,67.4,Developing,177.234497,0,93,93,6.3,19.5
Bhutan,2008,67,Developing,1795.18137,0,96,96,6.58,18.8
Bhutan,2007,66.5,Developing,1741.142552,0,93,95,5.88,18
Bhutan,2006,65.8,Developing,1335.45696,0,96,95,5.27,17.4
Bhutan,2005,65,Developing,1247.61392,0,95,95,5.28,16.7
Bhutan,2004,64.2,Developing,197.45788,0,9,89,4.41,16.1
Bhutan,2003,63.3,Developing,997.7417141,0,96,95,4.9,15.5
Bhutan,2002,62.5,Developing,885.6382245,0,89,86,7.75,14.9
Bhutan,2001,61.7,Developing,87.9387673,0,88,88,5.91,14.4
Bhutan,2000,62,Developing,765.8632358,0,98,92,6.91,13.9
Bosnia and Herzegovina,2014,77.2,Developing,5193.94932,0.742,86,86,9.57,55.3
Bosnia and Herzegovina,2013,77,Developing,535.86555,0.735,87,89,9.46,54.7
Bosnia and Herzegovina,2012,76.8,Developing,4716.673325,0.728,87,92,9.94,54.2
Bosnia and Herzegovina,2011,76.9,Developing,55.156834,0.711,89,88,9.71,53.7
Bosnia and Herzegovina,2010,76.4,Developing,4611.47298,0.717,9,89,9.58,53.1
Bosnia and Herzegovina,2009,76.1,Developing,4697.89732,0.716,9,9,9.64,52.6
Bosnia and Herzegovina,2008,76,Developing,575.31664,0.71,92,91,8.58,52.1
Bosnia and Herzegovina,2007,75.4,Developing,418.292176,0.703,95,95,8.37,51.5
Bosnia and Herzegovina,2006,75.7,Developing,344.321698,0.697,91,87,8.28,51
Bosnia and Herzegovina,2005,75,Developing,2968.41186,0,95,93,8.5,5.5
Bosnia and Herzegovina,2004,75.5,Developing,265.642661,0,87,84,9.4,49.9
Bosnia and Herzegovina,2003,75.2,Developing,2214.732246,0,87,87,7.94,49.4
Bosnia and Herzegovina,2002,75.4,Developing,1761.537647,0,86,8,7.1,48.8
Bosnia and Herzegovina,2001,74.9,Developing,1524.41222,0,92,91,7.16,48.2
Bosnia and Herzegovina,2000,74.6,Developing,1461.7552,0,87,85,7.9,47.6
Botswana,2014,65.1,Developing,7497.762376,0.697,96,95,5.41,37.3
Botswana,2013,64.2,Developing,77.625783,0.693,96,95,5.84,36.8
Botswana,2012,63.4,Developing,729.231453,0.687,96,95,6.27,36.2
Botswana,2011,62.2,Developing,7645.21469,0.678,96,95,5.25,35.7
Botswana,2010,61.1,Developing,6346.15624,0.669,96,95,5.64,35.2
Botswana,2009,59.2,Developing,5185.729845,0.661,96,96,6.39,34.7
Botswana,2008,57.5,Developing,5623.379566,0.646,96,96,5.55,34.2
Botswana,2007,56.9,Developing,5714.47937,0.63,96,96,4.71,33.7
Botswana,2006,54.8,Developing,5374.554867,0.61,96,96,4.93,33.2
Botswana,2005,51.7,Developing,5351.253732,0.593,96,96,5.62,32.7
Botswana,2004,48.1,Developing,4896.583835,0.58,96,96,5.56,32.2
Botswana,2003,46.4,Developing,4163.6596,0.567,96,96,4.65,31.6
Botswana,2002,46,Developing,355.618382,0.558,97,97,6.47,31.1
Botswana,2001,46.7,Developing,3128.97793,0.56,97,97,5.73,3.5
Botswana,2000,47.8,Developing,3349.68823,0.559,97,97,4.64,29.9
Brazil,2014,74.8,Developing,1226.61731,0.747,96,93,8.32,55.3
Brazil,2013,74.7,Developing,12216.9446,0.734,96,97,8.48,54.5
Brazil,2012,74.5,Developing,12291.46685,0.73,96,95,8.26,53.6
Brazil,2011,74.1,Developing,13167.47289,0.724,98,99,8.9,52.8
Brazil,2010,73.8,Developing,11224.1548,0.716,99,99,8.27,52
Brazil,2009,73.6,Developing,8553.3847,0.714,99,99,8.65,51.1
Brazil,2008,73.4,Developing,8787.61375,0.704,99,99,8.24,5.3
Brazil,2007,73.3,Developing,7313.557962,0.7,99,99,8.28,49.4
Brazil,2006,73,Developing,586.145975,0.698,99,99,8.36,48.6
Brazil,2005,72.7,Developing,477.182746,0.694,99,99,8.27,47.8
Brazil,2004,72,Developing,3623.47667,0.695,99,99,7.7,46.9
Brazil,2003,71.8,Developing,359.587582,0.699,99,99,6.94,46.1
Brazil,2002,71.4,Developing,2819.649531,0.692,99,99,7.13,45.3
Brazil,2001,71,Developing,3146.95177,0.685,99,98,7.19,44.5
Brazil,2000,75,Developing,3739.11936,0.677,99,98,7.3,43.7
Brunei Darussalam,2014,77.6,Developing,4159.8652,0.863,99,99,2.65,4.2
Brunei Darussalam,2013,77.1,Developing,44597.27968,0.86,99,99,2.61,39.2
Brunei Darussalam,2012,78.3,Developing,47651.2599,0.852,99,99,2.3,38.2
Brunei Darussalam,2011,77.4,Developing,4717.273,0.846,99,97,2.25,37.2
Brunei Darussalam,2010,76.9,Developing,35268.1117,0.845,99,95,2.73,36.2
Brunei Darussalam,2009,76.8,Developing,27965.4754,0.841,99,99,2.85,35.2
Brunei Darussalam,2008,77.2,Developing,37951.286,0.84,97,98,2.23,34.2
Brunei Darussalam,2007,76,Developing,32672.36717,0.84,95,99,2.32,33.2
Brunei Darussalam,2006,76.3,Developing,398.96692,0.837,94,97,2.24,32.2
Brunei Darussalam,2005,76.2,Developing,2612.13345,0.834,93,94,2.62,31.2
Brunei Darussalam,2004,76.4,Developing,21896.6527,0.828,92,92,3.1,3.1
Brunei Darussalam,2003,76,Developing,18555.56649,0.823,99,92,3.9,29.1
Brunei Darussalam,2002,74.8,Developing,16846.2198,0.82,99,94,3.4,28
Brunei Darussalam,2001,74.7,Developing,16468.12886,0.819,99,97,3.6,27
Brunei Darussalam,2000,74.4,Developing,188.44826,0.818,99,99,3.5,26.1
Bulgaria,2014,74.3,Developed,7853.335191,0.787,88,88,8.44,65.1
Bulgaria,2013,74.1,Developed,7674.86559,0.781,95,95,7.93,64.5
Bulgaria,2012,73.9,Developed,7378.25539,0.778,95,95,7.11,63.9
Bulgaria,2011,73.7,Developed,7813.83499,0.775,95,95,6.88,63.3
Bulgaria,2010,73.4,Developed,6843.263289,0.77,94,94,7.24,62.7
Bulgaria,2009,73.2,Developed,6955.987733,0.768,94,94,6.78,62.1
Bulgaria,2008,72.9,Developed,7296.122479,0.761,96,95,6.61,61.5
Bulgaria,2007,72.6,Developed,5932.899677,0.755,95,95,6.41,6.9
Bulgaria,2006,72.2,Developed,4513.13628,0.75,96,95,6.67,6.3
Bulgaria,2005,72.1,Developed,3893.68998,0.745,97,96,7.8,59.7
Bulgaria,2004,72.2,Developed,3381.57837,0.738,94,95,7.9,59.1
Bulgaria,2003,72,Developed,271.46824,0.729,96,96,7.43,58.6
Bulgaria,2002,71.8,Developed,287.534843,0.723,94,93,7.41,58.1
Bulgaria,2001,71.6,Developed,1764.97387,0.713,94,94,7.23,57.5
Bulgaria,2000,71.1,Developed,169.28586,0.709,94,93,6.7,57
Burkina Faso,2014,59.3,Developing,75.1464113,0.398,91,91,4.96,18.8
Burkina Faso,2013,59,Developing,699.452847,0.392,89,88,5.91,18.2
Burkina Faso,2012,58.6,Developing,673.8227,0.384,9,9,5.33,17.7
Burkina Faso,2011,58.1,Developing,666.842783,0.377,9,91,5.17,17.1
Burkina Faso,2010,57.5,Developing,575.4464527,0.365,9,91,7.17,16.6
Burkina Faso,2009,56.9,Developing,552.7455521,0.356,91,92,7.41,16.1
Burkina Faso,2008,56.1,Developing,569.7612784,0.345,92,93,6.77,15.6
Burkina Faso,2007,55.3,Developing,475.11122,0.334,93,89,6.63,15.1
Burkina Faso,2006,54.3,Developing,422.6332374,0.325,94,86,6.58,14.6
Burkina Faso,2005,53.3,Developing,46.998871,0,94,82,6.87,14.2
Burkina Faso,2004,52.4,Developing,371.323865,0,83,79,6.45,13.7
Burkina Faso,2003,51.6,Developing,332.344351,0,83,79,5.61,13.3
Burkina Faso,2002,51,Developing,26.7635413,0,69,69,5.26,12.9
Burkina Faso,2001,56,Developing,235.4912324,0,62,62,4.85,12.5
Burkina Faso,2000,51,Developing,226.4759814,0,45,45,5.6,12.2
Burundi,2014,59.1,Developing,312.7489794,0.404,95,95,7.54,18.2
Burundi,2013,58.6,Developing,282.7555252,0.398,96,96,8.3,17.6
